Initial,Values,,,,,,,,,,,,,,
Type,Sphere,,,,,,,,,,,,,,
Radius:,,0.5,,Mass:,1,,Density:,1.90986,,,,,,,
Position XYZ,,0,10,0,,,,,,,,,,,
Velocity XYZ,,0,0,0,,,,,,,,,,,
Rotation XYZ,,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fluid:,,C1,0,C2,0,,Density,0,,,,,,,
Wind XYZ,,,0,0,0,,,,,,,,,,
Gravity XYZ,,,0,-9.81,0,,,,,,,,,,
Ground:,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Start,Simulation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Time,1/60,sec,,PosX,0,PosY,9.99864,PosZ,0,VelX,0,VelY,-0.1635,VelZ,0
Time,2/60,sec,,PosX,0,PosY,9.99455,PosZ,0,VelX,0,VelY,-0.327,VelZ,0
Time,3/60,sec,,PosX,0,PosY,9.98774,PosZ,0,VelX,0,VelY,-0.4905,VelZ,0
Time,4/60,sec,,PosX,0,PosY,9.9782,PosZ,0,VelX,0,VelY,-0.654,VelZ,0
Time,5/60,sec,,PosX,0,PosY,9.96594,PosZ,0,VelX,0,VelY,-0.8175,VelZ,0
Time,6/60,sec,,PosX,0,PosY,9.95095,PosZ,0,VelX,0,VelY,-0.981,VelZ,0
Time,7/60,sec,,PosX,0,PosY,9.93324,PosZ,0,VelX,0,VelY,-1.1445,VelZ,0
Time,8/60,sec,,PosX,0,PosY,9.9128,PosZ,0,VelX,0,VelY,-1.308,VelZ,0
Time,9/60,sec,,PosX,0,PosY,9.88964,PosZ,0,VelX,0,VelY,-1.4715,VelZ,0
Time,10/60,sec,,PosX,0,PosY,9.86375,PosZ,0,VelX,0,VelY,-1.635,VelZ,0
Time,11/60,sec,,PosX,0,PosY,9.83514,PosZ,0,VelX,0,VelY,-1.7985,VelZ,0
Time,12/60,sec,,PosX,0,PosY,9.8038,PosZ,0,VelX,0,VelY,-1.962,VelZ,0
Time,13/60,sec,,PosX,0,PosY,9.76974,PosZ,0,VelX,0,VelY,-2.1255,VelZ,0
Time,14/60,sec,,PosX,0,PosY,9.73295,PosZ,0,VelX,0,VelY,-2.289,VelZ,0
Time,15/60,sec,,PosX,0,PosY,9.69344,PosZ,0,VelX,0,VelY,-2.4525,VelZ,0
Time,16/60,sec,,PosX,0,PosY,9.6512,PosZ,0,VelX,0,VelY,-2.616,VelZ,0
Time,17/60,sec,,PosX,0,PosY,9.60624,PosZ,0,VelX,0,VelY,-2.7795,VelZ,0
Time,18/60,sec,,PosX,0,PosY,9.55855,PosZ,0,VelX,0,VelY,-2.943,VelZ,0
Time,19/60,sec,,PosX,0,PosY,9.50814,PosZ,0,VelX,0,VelY,-3.1065,VelZ,0
Time,20/60,sec,,PosX,0,PosY,9.455,PosZ,0,VelX,0,VelY,-3.27,VelZ,0
Time,21/60,sec,,PosX,0,PosY,9.39914,PosZ,0,VelX,0,VelY,-3.4335,VelZ,0
Time,22/60,sec,,PosX,0,PosY,9.34055,PosZ,0,VelX,0,VelY,-3.597,VelZ,0
Time,23/60,sec,,PosX,0,PosY,9.27924,PosZ,0,VelX,0,VelY,-3.7605,VelZ,0
